MALATYA GÜNCEL İLÇE VE MAHALLELERİ
=================================

[Akçadağ]
Çanakpınar Mahallesi, Hekimhan, Malatya
Çimenlik Mahallesi, Hekimhan, Malatya
Çulhalı Mahallesi, Hekimhan, Malatya
Davulku Mahallesi, Hekimhan, Malatya
Delihasanyurdu Mahallesi, Hekimhan, Malatya
Dereköy Mahallesi, Hekimhan, Malatya
Deveci Mahallesi, Hekimhan, Malatya
Dikenli Mahallesi, Hekimhan, Malatya
Dikili Mahallesi, Hekimhan, Malatya
Dumlu Mahallesi, Hekimhan, Malatya
Dursunlu Mahallesi, Hekimhan, Malatya
Fatih Mahallesi, Hekimhan, Malatya
Girmana Mahallesi, Hekimhan, Malatya
Güçlü Mahallesi, Hekimhan, Malatya
Güvenç Mahallesi, Hekimhan, Malatya
Güzelyayla Mahallesi, Hekimhan, Malatya
Güzelyurt Mahallesi, Hekimhan, Malatya
Hacılar Mahallesi, Hekimhan, Malatya
Hasançelebi Mahallesi, Hekimhan, Malatya
Haydaroğlu Mahallesi, Hekimhan, Malatya
Işıklı Mahallesi, Hekimhan, Malatya
İgdir Mahallesi, Hekimhan, Malatya
Karadere Mahallesi, Hekimhan, Malatya
Karaköcek Mahallesi, Hekimhan, Malatya
Karapınar Mahallesi, Hekimhan, Malatya
Karslılar Mahallesi, Hekimhan, Malatya
Karşıyaka Mahallesi, Hekimhan, Malatya
Kavacık Mahallesi, Hekimhan, Malatya
Kocaözü Mahallesi, Hekimhan, Malatya
Kozdere Mahallesi, Hekimhan, Malatya
Köprülü Mehmet Paşa Mahallesi, Hekimhan, Malatya
Köylü Köyü Mahallesi, Hekimhan, Malatya
Kurşunlu Mahallesi, Hekimhan, Malatya
Mimar Sinan Mahallesi, Hekimhan, Malatya
Mollaibrahim Mahallesi, Hekimhan, Malatya
Salıcık Mahallesi, Hekimhan, Malatya
Saraylı Mahallesi, Hekimhan, Malatya
Sarıkız Mahallesi, Hekimhan, Malatya
Sögüt Mahallesi, Hekimhan, Malatya
Şehit Fethi Akyüz Mahallesi, Hekimhan, Malatya
Taşbaşı Mahallesi, Hekimhan, Malatya
Taşoluk Mahallesi, Hekimhan, Malatya
Turgut Özal Mahallesi, Hekimhan, Malatya
Uğurlu Mahallesi, Hekimhan, Malatya
Yağca Mahallesi, Hekimhan, Malatya
